MM03,ARI Status,Material,Material Type,Product home,Material Description Andritz,Basic material,Code Material,Andritz Standard Text,Andritz Material Code,Material Group,Product hierarchy,Follow up material,X-plant matl status,Andrtiz Reuse Indicator,Base Unit of Measure,Net Weight,Weight unit,Length,Width,Height,Diameter,Thickness,Unit of Dimension,Created by,Created On
@A6@,,100002017,ZSTD,9008,HEX NUT ISO4035 |- M20 |AMC 1000 09 08 000,,,200,1000 09 08 000,210401000,9008,131479168,30,3,PC,0.040,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002020,ZSTD,9008,HEX NUT ISO4035 |- M20 |AMC 2500 40 08 000,,,200,2500 40 08 000,210401000,9008,131241677,30,3,PC,0,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002044,ZSTD,9008,HEX NUT DIN6330 |- B- M8 |AMC 2500 47 08 000,,,200,2500 47 08 000,210401000,9008,,30,21,PC,0.010,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002045,ZSTD,9008,HEX NUT DIN6330 |- B- M30 |AMC 2500 47 08 000,,,200,2500 47 08 000,210401000,9008,,30,199,PC,0.419,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002046,ZSTD,9008,HEX NUT DIN6330 |- B- M20 | 8 ISO898-2 |AMC 2500 45 08 000,8 ISO898-2,,200,2500 45 08 000,210401000,9008,,30,23,PC,0.120,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002047,ZSTD,9008,HEX NUT DIN6330 |- B- M30 |AMC 5003 00 05 000,,,200,5003 00 05 000,210401000,9008,,30,21,PC,0.419,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002058,ZSTD,9008,HEX NUT DIN6331 |- M10 |AMC 1000 09 08 000,,,200,1000 09 08 000,210401000,9008,,30,21,PC,0.026,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002059,ZSTD,9008,HEX NUT DIN6331 |- M16 |-GALVANIZED |AMC 2500 47 08 000,,,200,2500 47 08 000,210401000,9008,,90,1,PC,0.033,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002060,ZSTD,9008,HEX NUT (ISO10512) | M14X1.5 | 8 ISO898-2 |,8 ISO898-2,,400516,2500 45 08 000,210401000,9008,,30,21,PC,0.021,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002061,ZSTD,9008,HEX NUT ~ISO10512 |- M6 |AMC 1000 09 08 000,,,200,1000 09 08 000,210401000,9008,,30,555,PC,0.001,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002062,ZSTD,9008,HEX NUT ~ISO10512 |- M5 |AMC 1000 09 08 000,,,200,1000 09 08 000,210401000,9008,,30,21,PC,0.001,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002063,ZSTD,9008,HEX NUT ISO10512 | M24X2 | 8 ISO898-2 |,8 ISO898-2,,400516,2500 45 08 000,210401000,9008,,30,21,PC,0.127,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002064,ZSTD,9008,HEX NUT ISO10512 | M8X1 | A4-70 ISO3506-2 |,A4-70 ISO3506-2,,400516,1000 09 08 000,210401000,9008,,30,21,PC,0.001,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002065,ZSTD,9008,HEX NUT ISO10512 |- M12 |-ZINC-PLATED | 8 ISO898-2 |AMC 2500 45 08 000,8 ISO898-2,,200,2500 45 08 000,210401000,9008,,30,21,PC,0.020,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002066,ZSTD,9008,HEX NUT ISO4032 | - M56 - | 8 ISO898-2 | ZINC-PLATED |,8 ISO898-2,,400013,2500 45 08 000,210401000,9008,,30,81,PC,1.390,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002067,ZSTD,9008,HEX NUT ISO4032 | - M30 - | 5 ISO898-2 |,5 ISO898-2,,400013,2500 43 08 000,210401000,9008,,30,21,PC,0.223,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002068,ZSTD,9008,HEX NUT ~ISO8673 | - M30X1.5 - | 8 ISO898-2 |,8 ISO898-2,,400138,2500 45 08 000,210401000,9008,,30,43,PC,0.223,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002069,ZSTD,9008,HEX NUT ISO4032 | - M42 - | 8 ISO898-2 |,8 ISO898-2,,400013,2500 45 08 000,210401000,9008,,30,777,PC,0.650,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002070,ZSTD,9008,HEX NUT ISO4032 | - M4 - | 5 ISO898-2 | ZINC-PLATED |,5 ISO898-2,,400013,2500 43 08 000,210401000,9008,,30,21,PC,0.001,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002071,ZSTD,9008,HEX NUT ISO4032 |- M5 |AMC 2500 45 08 000,,,200,2500 45 08 000,210401000,9008,100002149,30,3,PC,0.001,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002072,ZSTD,9008,HEX NUT ISO4032 | - M6 - | 8 ISO898-2 | ZINC-PLATED |,8 ISO898-2,,400013,2500 45 08 000,210401000,9008,,30,963,PC,0.002,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002073,ZSTD,9008,HEX NUT ISO4032 |- M8 |-GALVANIZED |AMC 2500 45 08 000,,,200,2500 45 08 000,210401000,9008,131122315,90,1,PC,0.005,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002074,ZSTD,9008,HEX NUT ISO4032 |- M10 |-GALVANIZED |AMC 2500 45 08 000,,,200,2500 45 08 000,210401000,9008,131122320,90,1,PC,0.012,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002075,ZSTD,9008,HEX NUT ISO4032 | - M12 - | 8 ISO898-2 | ZINC-PLATED |,8 ISO898-2,,400013,2500 45 08 000,210401000,9008,,30,989,PC,0.015,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002076,ZSTD,9008,HEX NUT ISO4032 | - M16 - | 8 ISO898-2 | ZINC-PLATED |,8 ISO898-2,,400013,2500 45 08 000,210401000,9008,,30,993,PC,0.028,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002077,ZSTD,9008,HEX NUT ISO4032 | - M20 - | 8 ISO898-2 | ZINC-PLATED |,8 ISO898-2,,400013,2500 45 08 000,210401000,9008,,30,994,PC,0.055,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002078,ZSTD,9008,HEX NUT ISO4032 | - M4 - | A4-70 ISO3506-2 |,A4-70 ISO3506-2,,400013,1000 09 08 000,210401000,9008,,30,539,PC,0.001,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002079,ZSTD,9008,HEX NUT ISO4032 | - M5 - | A4-70 ISO3506-2 |,A4-70 ISO3506-2,,400013,1000 09 08 000,210401000,9008,,30,773,PC,0.001,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002080,ZSTD,9008,HEX NUT ISO4032 | - M6 - | A4-70 ISO3506-2 |,A4-70 ISO3506-2,,400013,1000 09 08 000,210401000,9008,,30,984,PC,0.003,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002081,ZSTD,9008,HEX NUT ISO4032 | - M8 - | A4-70 ISO3506-2 |,A4-70 ISO3506-2,,400013,1000 09 08 000,210401000,9008,,30,998,PC,0.005,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002082,ZSTD,9008,HEX NUT ISO4032 | - M10 - | A4-70 ISO3506-2 |,A4-70 ISO3506-2,,400013,1000 09 08 000,210401000,9008,,30,998,PC,0.010,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002083,ZSTD,9008,HEX NUT ISO4032 | - M12 - | A4-70 ISO3506-2 |,A4-70 ISO3506-2,,400013,1000 09 08 000,210401000,9008,,30,998,PC,0.016,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002084,ZSTD,9008,HEX NUT ISO4032 | - M16 - | A4-70 ISO3506-2 |,A4-70 ISO3506-2,,400013,1000 09 08 000,210401000,9008,,30,996,PC,0.040,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002085,ZSTD,9008,HEX NUT ISO4032 | - M20 - | A4-70 ISO3506-2 |,A4-70 ISO3506-2,,400013,1000 09 08 000,210401000,9008,,30,991,PC,0.065,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002086,ZSTD,9008,HEX NUT ISO4032 | - M24 - | A4-70 ISO3506-2 |,A4-70 ISO3506-2,,400013,1000 09 08 000,210401000,9008,,30,976,PC,0.100,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002087,ZSTD,9008,HEX NUT ISO4032 | - M36 - | A4-70 ISO3506-2 |,A4-70 ISO3506-2,,400013,1000 09 08 000,210401000,9008,,30,563,PC,0.300,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002088,ZSTD,9008,HEX NUT ISO4032 | - M30 - | A4-70 ISO3506-2 |,A4-70 ISO3506-2,,400013,1000 09 08 000,210401000,9008,,30,824,PC,0.220,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002089,ZSTD,9008,HEX NUT ISO4032 | - M5 - | 6 ISO898-2 |,6 ISO898-2,,400013,2500 44 08 000,210401000,9008,,30,21,PC,0.002,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002090,ZSTD,9008,HEX NUT ISO4032 | - M10 - | 8 ISO898-2 |,8 ISO898-2,,400013,2500 45 08 000,210401000,9008,,30,991,PC,0.010,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002091,ZSTD,9008,HEX NUT ISO4032 | - M12 - | 8 ISO898-2 |,8 ISO898-2,,400013,2500 45 08 000,210401000,9008,,30,995,PC,0.017,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002092,ZSTD,9008,HEX NUT ISO4032 | - M16 - | 8 ISO898-2 |,8 ISO898-2,,400013,2500 45 08 000,210401000,9008,,30,996,PC,0.033,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002093,ZSTD,9008,HEX NUT ISO4032 | - M20 - | 8 ISO898-2 |,8 ISO898-2,,400013,2500 45 08 000,210401000,9008,,30,987,PC,0.064,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002094,ZSTD,9008,HEX NUT ISO4032 | - M24 - | 8 ISO898-2 |,8 ISO898-2,,400013,2500 45 08 000,210401000,9008,,30,988,PC,0.091,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002095,ZSTD,9008,HEX NUT (ISO4032) | - M27 - | 8 ISO898-2 |,8 ISO898-2,,400013,2500 45 08 000,210401000,9008,,30,201,PC,0.165,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002096,ZSTD,9008,HEX NUT ISO4032 | - M30 - | 8 ISO898-2 |,8 ISO898-2,,400013,2500 45 08 000,210401000,9008,,30,943,PC,0.220,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002097,ZSTD,9008,HEX NUT ISO4032 | - M36 - | 8 ISO898-2 |,8 ISO898-2,,400013,2500 45 08 000,210401000,9008,,30,943,PC,0.393,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002098,ZSTD,9008,HEX NUT (ISO4032) | - M33 - | A4-70 ISO3506-2 |,A4-70 ISO3506-2,,400013,1000 09 08 000,210401000,9008,,30,87,PC,0.288,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002099,ZSTD,9008,HEX NUT ISO4032 | - M30 - | 5 ISO898-2 | ZINC-PLATED |,5 ISO898-2,,400013,2500 43 08 000,210401000,9008,,30,866,PC,0.220,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002100,ZSTD,9008,HEX NUT (ISO4032) |- M45 | 8 ISO898-2 |AMC 2500 45 08 000,8 ISO898-2,,200,2500 45 08 000,210401000,9008,100002152,30,3,PC,0.800,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002101,ZSTD,9008,HEX NUT (ISO4032) | - M33 - | 8 ISO898-2 |,8 ISO898-2,,400013,2500 45 08 000,210401000,9008,,30,236,PC,0.288,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002102,ZSTD,9008,HEX NUT ISO4032 |- M36 |AMC 2500 47 08 000,,,200,2500 47 08 000,25270300,9008,100002292,90,1,PC,0.393,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002103,ZSTD,9008,HEX NUT ISO4032 | - M16 - | 5 ISO898-2 |,5 ISO898-2,,400013,2500 43 08 000,210401000,9008,,30,976,PC,0.030,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002104,ZSTD,9008,HEX NUT ISO4032 | - M20 - | C3-80 ISO3506-2 |,C3-80 ISO3506-2,,400013,1150 10 08 000,210401000,9008,,30,568,PC,0.060,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002105,ZSTD,9008,HEX NUT ISO4032 | - M48 - | A4-50 ISO3506-2 |,A4-50 ISO3506-2,,400013,1000 08 08 000,210401000,9008,,30,78,PC,0.970,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002106,ZSTD,9008,HEX NUT ISO4032 | - M3 - | A4-70 ISO3506-2 |,A4-70 ISO3506-2,,400013,1000 09 08 000,210401000,9008,,30,481,PC,0.001,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002107,ZSTD,9008,HEX NUT ISO4032 | - M6 - | A2-70 ISO3506-2 |,A2-70 ISO3506-2,,400013,1050 09 08 000,210401000,9008,,30,930,PC,0.002,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002108,ZSTD,9008,HEX NUT ~ISO4032 | - M72 - | 8 ISO898-2 |,8 ISO898-2,,400013,2500 45 08 000,210401000,9008,,30,43,PC,2.670,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002109,ZSTD,9008,HEX NUT (ISO4032) | - M27 - | A4-70 ISO3506-2 |,A4-70 ISO3506-2,,400013,1000 09 08 000,210401000,9008,,30,740,PC,0.160,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002110,ZSTD,9008,HEX NUT ISO4032 | - M24 - | 5 ISO898-2 |,5 ISO898-2,,400013,2500 43 08 000,210401000,9008,,30,21,PC,0.110,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002111,ZSTD,9008,HEX NUT (ISO4032) | - M27 - | 8 ISO898-2 | ZINC-PLATED |,8 ISO898-2,,400013,2500 45 08 000,210401000,9008,,30,616,PC,0.160,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002112,ZSTD,9008,HEX NUT ISO8673 | - M20X1.5 - LH | 8 ISO898-2 |,8 ISO898-2,,400138,2500 45 08 000,210401000,9008,,30,21,PC,0.071,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002113,ZSTD,9008,HEX NUT ISO4032 | - M64 - | 8 ISO898-2 |,8 ISO898-2,,400013,2500 45 08 000,210401000,9008,,30,189,PC,1.980,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002114,ZSTD,9008,HEX NUT (ISO4032) |- M14 | 8 ISO898-2 |AMC 2500 45 08 000,8 ISO898-2,,200,2500 45 08 000,210401000,9008,100002208,30,3,PC,0.025,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002116,ZSTD,9008,HEX NUT (ISO8673) | - M14X1.5 - | 8 ISO898-2 |,8 ISO898-2,,400138,2500 45 08 000,210401000,9008,,30,21,PC,0.025,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002117,ZSTD,9008,HEX NUT ISO4032 | - M20 - | 10 ISO898-2 | HOT-DIP GALVANIZED |,10 ISO898-2,,400013,2500 47 08 000,210401000,9008,,30,97,PC,0.060,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002118,ZSTD,9008,HEX NUT ISO4032 | - M16 - | 5 ISO898-2 | HOT-DIP GALVANIZED |,5 ISO898-2,,400013,2500 43 08 000,210401000,9008,,30,963,PC,0.030,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002119,ZSTD,9008,HEX NUT ISO4032 | - M10 - | 10 ISO898-2 |,10 ISO898-2,,400013,2500 47 08 000,210401000,9008,,30,567,PC,0.010,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002120,ZSTD,9008,HEX NUT ISO4032 | - M42 - | A4-70 ISO3506-2 |,A4-70 ISO3506-2,,400013,1000 09 08 000,210401000,9008,,30,158,PC,0.650,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002121,ZSTD,9008,HEX NUT ISO4032 | - M16 - | A2-70 ISO3506-2 |,A2-70 ISO3506-2,,400013,1050 09 08 000,210401000,9008,,30,997,PC,0.029,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002122,ZSTD,9008,HEX NUT ISO4032 | - M12 - | A2-70 ISO3506-2 |,A2-70 ISO3506-2,,400013,1050 09 08 000,210401000,9008,,30,991,PC,0.017,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002123,ZSTD,9008,HEX NUT ISO4032 | - M20 - | 10 ISO898-2 | ZINC-PLATED |,10 ISO898-2,,400013,2500 47 08 000,210401000,9008,,30,249,PC,0.060,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002124,ZSTD,9008,HEX NUT ISO4032 | - M24 - | 10 ISO898-2 | ZINC-PLATED |,10 ISO898-2,,400013,2500 47 08 000,210401000,9008,,30,131,PC,0.110,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002125,ZSTD,9008,HEX NUT ISO4032 | - M16 - | 10 ISO898-2 | ZINC-PLATED |,10 ISO898-2,,400013,2500 47 08 000,210401000,9008,,30,162,PC,0.033,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002126,ZSTD,9008,HEX NUT ISO4032 | - M12 - | 10 ISO898-2 | ZINC-PLATED |,10 ISO898-2,,400013,2500 47 08 000,210401000,9008,,30,21,PC,0.017,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002127,ZSTD,9008,HEX NUT ISO4032 |- M56 | A4-50 ISO3506-2 |AMC 1000 08 08 000,A4-50 ISO3506-2,,200,1000 08 08 000,210401000,9008,100002230,90,1,PC,1.420,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002128,ZSTD,9008,HEX NUT (ISO4032) | - M14 - | A4-70 ISO3506-2 |,A4-70 ISO3506-2,,400013,1000 09 08 000,210401000,9008,,30,102,PC,0.030,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002129,ZSTD,9008,HEX NUT ISO4032 | - M16 - | ELTEX P BP CHEMICALS |,ELTEX P BP CHEMICALS,,400013,6200 00 00 000,511100000,9008,,30,21,PC,0.010,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002130,ZSTD,9008,HEX NUT ISO4032 | - M4 - | 8 ISO898-2 |,8 ISO898-2,,400013,2500 45 08 000,210401000,9008,,30,404,PC,0.001,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002131,ZSTD,9008,HEX NUT ISO4032 | - M20 - | ELTEX P BP CHEMICALS |,ELTEX P BP CHEMICALS,,400013,6200 00 00 000,511100000,9008,,30,21,PC,0.012,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002132,ZSTD,9008,HEX NUT ISO4032 | - M16 - | PVDF |,PVDF,,400013,6008 00 00 000,511100000,9008,,30,21,PC,0.009,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002133,ZSTD,9008,HEX NUT ISO4032 | - M20 - | 10 ISO898-2 |,10 ISO898-2,,400013,2500 47 08 000,210401000,9008,,30,673,PC,0.064,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002134,ZSTD,9008,HEX NUT ISO8673 |- M24X2 |AMC 2500 45 08 000,,,200,2500 45 08 000,210401000,9008,131026044,90,1,PC,0.110,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002135,ZSTD,9008,HEX NUT ISO8673 | - M20X1.5 - | 8 ISO898-2 | ZINC-PLATED |,8 ISO898-2,,400138,2500 45 08 000,210401000,9008,,30,30,PC,0.071,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002136,ZSTD,9008,HEX NUT ISO8673 | - M20X1.5 - LH | 8 ISO898-2 | ZINC-PLATED |,8 ISO898-2,,400138,2500 45 08 000,210401000,9008,,30,21,PC,0.071,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002137,ZSTD,9008,HEX NUT ~ISO4032 | - M80 - | 8 ISO898-2 |,8 ISO898-2,,400013,2500 45 08 000,210401000,9008,,30,21,PC,3.440,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002138,ZSTD,9008,HEX NUT ISO8673 |- M20X1.5 |AMC 2500 45 08 000,,,200,2500 45 08 000,210401000,9008,131249890,30,3,PC,0.064,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002139,ZSTD,9008,HEX NUT ~ISO4032 | - M100X6 - | 5 ISO898-2 |,5 ISO898-2,,400013,2500 43 08 000,210401000,9008,,30,21,PC,6.820,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002140,ZSTD,9008,HEX NUT ISO4032 | - M12 - | 5 ISO898-2 |,5 ISO898-2,,400013,2500 43 08 000,210401000,9008,,30,278,PC,0.010,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002141,ZSTD,9008,HEX NUT ISO4032 | - M36 - | C3-80 ISO3506-2 |,C3-80 ISO3506-2,,400013,1150 10 08 000,210401000,9008,,30,21,PC,0.393,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002142,ZSTD,9008,HEX NUT ISO4032 |- M36 | A4-70 ISO3506-2 |AMC 1000 09 08 000,A4-70 ISO3506-2,,200,1000 09 08 000,210401000,9008,100002087,30,3,PC,0.393,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002143,ZSTD,9008,HEX NUT ISO4032 | - M16 - | 5 ISO898-2 | ZINC-PLATED |,5 ISO898-2,,400013,2500 43 08 000,210401000,9008,,30,562,PC,0.033,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002144,ZSTD,9008,HEX NUT ISO4032 | - M12 - | 5 ISO898-2 | ZINC-PLATED |,5 ISO898-2,,400013,2500 43 08 000,210401000,9008,,30,91,PC,0.017,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002145,ZSTD,9008,HEX NUT ~ISO8673 | - M12X1 - | A4-70 ISO3506-2 |,A4-70 ISO3506-2,,400138,1000 09 08 000,210401000,9008,,30,21,PC,0.011,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002146,ZSTD,9008,HEX NUT ISO8673 | - M20X1.5 - | A4-70 ISO3506-2 |,A4-70 ISO3506-2,,400138,1000 09 08 000,210401000,9008,,30,138,PC,0.072,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002147,ZSTD,9008,HEX NUT ~ISO8673 | - M24X1.5 - | 8 ISO898-2 |,8 ISO898-2,,400138,2500 45 08 000,210401000,9008,,30,21,PC,0.123,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002148,ZSTD,9008,HEX NUT ISO4032 | - M20 - LH | A4-70 ISO3506-2 |,A4-70 ISO3506-2,,400013,1000 09 08 000,210401000,9008,,30,22,PC,0.064,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002149,ZSTD,9008,HEX NUT ISO4032 | - M5 - | 8 ISO898-2 |,8 ISO898-2,,400013,2500 45 08 000,210401000,9008,,30,889,PC,0.002,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002150,ZSTD,9008,HEX NUT ISO4032 |- M64 | 8 ISO898-2 |AMC 2500 45 08 000,8 ISO898-2,,200,2500 45 08 000,210401000,9008,100002113,30,3,PC,1.980,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002151,ZSTD,9008,HEX NUT (ISO4032) | - M45 - LH | 8 ISO898-2 |,8 ISO898-2,,400013,2500 45 08 000,210401000,9008,,30,21,PC,0.800,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002152,ZSTD,9008,HEX NUT (ISO4032) | - M45 - | 8 ISO898-2 |,8 ISO898-2,,400013,2500 45 08 000,210401000,9008,,30,22,PC,0.800,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002153,ZSTD,9008,HEX NUT ISO4032 | - M20 - | 5 ISO898-2 | ZINC-PLATED |,5 ISO898-2,,400013,2500 43 08 000,210401000,9008,,30,42,PC,0.060,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
@A6@,,100002154,ZSTD,9008,HEX NUT ISO4032 | - M24 - | 5 ISO898-2 | ZINC-PLATED |,5 ISO898-2,,400013,2500 43 08 000,210401000,9008,,30,474,PC,0.110,KG,0.000,0.000,0.000,0.000,0.000,,GRZFRA09,7/12/2005
